feature_name,SD21,SDXL,SD3,DALLE3,Midjourney
hog_0146,0.0046257762139640946,0.024284329193952514,0.00833318527311211,0.0012065823801306053,0.0
hog_0147,0.0,0.0054730787130521374,0.02690761700358646,0.0,0.0
hog_0148,0.0,0.025297050497508744,0.011192969556872434,0.0022350915939008953,0.0
hog_0149,0.0005667495584300575,0.02153897462269816,0.027652657294423566,0.009189744845014669,0.021625443907842046
hog_0150,0.005859491747318923,0.013806958993893614,0.02602020807557759,0.019070091638729192,0.011755545098729447
hog_0151,0.0,0.0,0.0,0.0,0.0
hog_0152,0.02032364532372921,0.006549103018462121,0.03833405776836618,0.008847731006186521,0.0
hog_0153,0.005892387607938865,0.0,0.011754632491323358,0.014472132370062951,0.0009394717134802999
hog_0154,0.01445261072107673,0.016235902606437147,0.04578299949014819,0.007515054686364042,0.014677621237336957
hog_0155,0.0,0.003937261370380973,0.02048374422097421,0.026338521553941563,0.0
hog_0156,0.018732846946041715,0.027604023403221323,0.03509319957818402,0.005934856664326027,0.00438887288619938
hog_0157,4.780297921569421e-05,0.02097774917021189,0.05401666742353339,0.009161109067968187,0.0
hog_0158,0.0,0.0,0.03230084113924403,0.013342034098696942,0.007439874099621768
hog_0159,0.0,0.0006406364849955715,0.006173946825402066,0.0032210979713762633,0.0
hog_0160,0.024604860505023307,0.03676088267956579,0.024788238872625934,0.061230378492978854,0.03217855921987911
hog_0161,0.0,0.0,0.006703252183862585,0.0,0.004088040742674659
hog_0162,0.02847145494751735,0.0,0.0062676238229928405,0.019870950332562476,0.00767827766326179
hog_0163,0.0,0.007543777621986658,0.03211578363174139,0.0,0.013522243090341668
hog_0164,0.004344880274585794,0.01613667121881912,0.008141310195622031,0.009643504900181732,0.007263609702776064
hog_0165,0.0,0.0,0.02130683743640671,0.0,0.0
hog_0166,0.017117284107914355,0.0033188041973020166,0.0,0.0,0.0
hog_0167,0.0002639385301725916,0.0,0.027843493485819604,0.028448113588829482,0.0003388404314925708
hog_0168,0.0,0.0,0.027683021517311834,0.0147175842996079,0.018949201679721472
hog_0169,0.0,0.004553628619494932,0.0020454579753019786,0.004536394982389114,0.0
hog_0170,0.016824029679563424,0.018855917080272677,0.012472620568147796,0.0,0.0
hog_0171,0.013148598877411821,0.018349746914024134,0.015287131373743712,0.002916212216453884,0.011582383594678669
hog_0172,0.0,0.00985757660936093,0.03832559406743341,0.0,0.0
hog_0173,0.02554076946942474,0.0,0.014153950648533753,0.025254150543237985,0.013500744071613724
hog_0174,0.012132847243363276,0.014424483633227903,0.05710711429082904,0.0025957213307052918,0.008037296727119614
hog_0175,0.011134892972555654,0.01311039203459008,0.0031924911429426217,0.006364154587335413,0.0205430666441222
hog_0176,0.0,0.0,0.0,0.0,0.0
hog_0177,0.0049155617085814285,0.0034503144983304423,0.007137267154040394,0.02086826738292591,0.005269404658931887
hog_0178,0.011506306398065824,2.0839707248976325e-05,0.025614861611248818,0.0,0.014921458736190996
hog_0179,0.0,0.0033023389865090014,0.015787002286560936,0.02959762851840564,0.0048007270217931275
hog_0180,0.0051898459215611314,0.01117026743989502,0.0,0.008790864417537625,0.007594104960993553
hog_0181,0.012621495499868907,0.016210947962089106,0.0487928374191291,0.0,0.006819968614578009
hog_0182,0.0,0.0007110946653539063,0.026221889589437053,0.0,0.0
hog_0183,0.0,0.0,0.01663522899744141,0.0,0.0
hog_0184,0.009992129850407094,0.023500619535340217,0.0003553467426415935,0.0,0.0
hog_0185,0.0,0.017344913475511925,0.017241246151125322,0.008884135297690943,0.00044601881152450673
hog_0186,0.000930800190337866,0.036066722420535546,0.008851926318527825,0.009124710269863057,0.0
hog_0187,0.0,0.003962263139736688,0.022923761668220743,0.04619964006357713,0.029002052219704533
hog_0188,0.0043311365778064825,0.01566489482346789,0.01705704470498226,0.0,0.0017619358205807067
hog_0189,0.0,0.006417978821451564,0.020279045407944007,0.014831884919561222,0.0032349060547116615
hog_0190,0.015134190773199663,0.015390644296978229,0.039333354213572536,0.0,0.0
hog_0191,0.014476148120900145,0.03056789186144382,0.03842719108736037,0.03975761963652502,0.03224635110589347
