feature_name,family,index,SD21,SDXL,SD3,DALLE3,Midjourney,mean_mi,std_mi,max_mi,stability_score,specificity_ratio
hog_0121,hog,121,0.0,0.0,0.009087661565423844,0.002984701242539023,0.0,0.002414472561592573,0.0035311654020019714,0.009087661565423844,0.6837606294123393,3.7638273245078206
hog_0122,hog,122,0.0,0.0,0.030042301596613585,0.008944397548217076,0.015567876995357333,0.0109109152280376,0.01122194788169955,0.030042301596613585,0.9722834547777013,2.7534169421459205
hog_0123,hog,123,0.0,0.0019879747547408844,0.014040970281054888,0.009943370563997078,0.0,0.00519446311995857,0.005745594359313379,0.014040970281054888,0.9040774358637271,2.703064253944038
hog_0124,hog,124,0.0,0.0,0.04302534339269415,0.021826801966861265,0.025285755750650507,0.018027580222041185,0.01638286091457003,0.04302534339269415,1.1003926124780696,2.3866398305331042
hog_0125,hog,125,0.0,0.0,0.01675731839346639,0.0,0.012665573537782748,0.005884578386249828,0.007322337862478028,0.01675731839346639,0.8036473723449569,2.8476662975475007
hog_0126,hog,126,0.0,0.013771673358707215,0.016078023260708063,0.015189907706135264,0.01812348648688422,0.012632618162486953,0.00647210428587182,0.01812348648688422,1.9518560969740597,1.4346578689479226
hog_0127,hog,127,0.010784194928186386,0.0,0.00876811242456399,0.0,0.016691219086917508,0.0072487052879335765,0.006466170560537553,0.016691219086917508,1.1210196358184732,2.302648006955701
hog_0128,hog,128,0.00533392347345063,0.021339145292886164,0.011905229038170484,0.0,0.006780668328152384,0.009071793226531932,0.00721158292130773,0.021339145292886164,1.257947397620643,2.3522519096031056
hog_0129,hog,129,0.0023548217220272782,0.0,0.024237926248756425,0.0030922358601770394,0.014854090077388138,0.008907814781669776,0.009235608782339581,0.024237926248756425,0.9645074869559108,2.7209730020048766
hog_0130,hog,130,0.0,0.0,0.018301337379525773,0.0,0.018649743594438384,0.007390216194792831,0.009051799920332218,0.018649743594438384,0.8164360064739026,2.523571784544986
hog_0131,hog,131,0.0,0.0,0.03383655759282633,0.010994044602321784,0.0,0.008966120439029623,0.013144010558536312,0.03383655759282633,0.6821448991504135,3.773823254895415
hog_0132,hog,132,0.008405945697258721,0.019902409395147203,0.013862198274046778,0.008591152355679421,0.010929427555036675,0.01233822665543376,0.004266789525188742,0.019902409395147203,2.8916879285720207,1.613068744633041
hog_0133,hog,133,0.0,0.0,0.015684439725435206,0.0,0.0,0.0031368879450870413,0.0062737758901740825,0.015684439725435206,0.49999992030319074,4.999998406064069
hog_0134,hog,134,0.01205505264941853,0.0,0.025347116216042798,0.0,0.0,0.007480433773092265,0.010079842733711033,0.025347116216042798,0.7421180298732907,3.3884549474608674
hog_0135,hog,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hog_0136,hog,136,0.0,0.003582339428287895,0.02560244835518599,0.01043610019786989,0.0005250747456990723,0.00802919254540857,0.009541139803312391,0.02560244835518599,0.8415338072173802,3.18866997169679
hog_0137,hog,137,0.0014879120939572665,0.019812987918514713,0.01200285525070699,0.029545263112974673,0.019716315780606397,0.016513066831352008,0.009349713432185824,0.029545263112974673,1.7661573464219162,1.7892049747945384
hog_0138,hog,138,0.01697604403011388,0.01588417156388422,0.020617632605043346,0.012765724938209155,0.0,0.01324871462745012,0.007083802484821,0.020617632605043346,1.8702826321818693,1.5561985919846832
hog_0139,hog,139,0.005607418399270259,0.0,0.036035333281484894,0.0,0.0,0.008328550336151031,0.014022586297136205,0.036035333281484894,0.5939382055301555,4.326722838949123
hog_0140,hog,140,0.0,0.0,0.01253714886248991,0.0,0.0,0.002507429772497982,0.005014859544995964,0.01253714886248991,0.4999999002963301,4.999998005927002
hog_0141,hog,141,0.0,0.013548801968508384,0.0011300851548130542,0.008614968428084513,0.0,0.00465877111028119,0.005487149842421387,0.013548801968508384,0.8490328121224663,2.9082345407297923
hog_0142,hog,142,0.00845540356315544,0.009535894437121328,0.023750263524790594,0.0,0.006418690276442263,0.009632050360301925,0.007795123652344124,0.023750263524790594,1.2356505880127788,2.4657534139276143
hog_0143,hog,143,0.01345367785830498,0.026635678659791218,0.024678101413825537,0.029016058550675128,0.0032335544796993076,0.019403414192459233,0.009689113806148727,0.029016058550675128,2.0025992653266735,1.495409867946941
hog_0144,hog,144,0.0,0.0,0.02167112137708771,0.0,0.002123768773097945,0.004758978030037131,0.008495981827783926,0.02167112137708771,0.5601444972880734,4.5537333197533805
hog_0145,hog,145,0.0,0.0,0.009652185027248628,0.009603976429303662,0.004099195772868436,0.004671071445884145,0.0043153192877559915,0.009652185027248628,1.082439108665361,2.066374508011222
hog_0146,hog,146,0.0046257762139640946,0.024284329193952514,0.00833318527311211,0.0012065823801306053,0.0,0.007689974612231865,0.008790286913794468,0.024284329193952514,0.8748262500212424,3.157920183170056
hog_0147,hog,147,0.0,0.0054730787130521374,0.02690761700358646,0.0,0.0,0.006476139143327719,0.01043333649790183,0.02690761700358646,0.6207159640556137,4.154884917261869
